139;152;2;30/09/2011;30/03/2012;30/09/2012;;;31/05/2014;"2";TRUE;FALSE;FALSE;
140;152;1;30/03/2012;30/12/2013;31/08/2012;31/08/2012;;10/06/2014;"3";TRUE;FALSE;FALSE;
141;153;3;30/09/2011;30/06/2012;;30/09/2011;31/07/2012;31/07/2012;"1";TRUE;FALSE;FALSE;
142;153;1;30/03/2012;30/12/2013;;30/03/2012;;31/03/2014;"3";TRUE;FALSE;FALSE;
144;154;3;30/04/2010;30/10/2010;30/01/2011;30/01/2011;31/03/2012;30/10/2011;"1";TRUE;FALSE;FALSE;
145;154;2;30/10/2010;30/03/2011;30/07/2011;30/07/2011;;30/08/2013;"2";TRUE;FALSE;FALSE;
146;154;1;30/03/2011;30/12/2012;30/01/2012;31/05/2012;;31/05/2014;"3";TRUE;FALSE;FALSE;
147;155;3;30/11/2009;30/08/2010;30/04/2011;30/04/2011;;31/03/2012;"1";TRUE;FALSE;FALSE;
148;155;1;30/01/2011;30/12/2012;30/01/2012;30/04/2012;;30/04/2014;"2";TRUE;FALSE;FALSE;
151;157;3;30/07/2010;30/10/2010;30/03/2011;30/03/2011;31/03/2012;30/09/2011;"1";TRUE;FALSE;FALSE;
152;157;2;30/10/2010;30/06/2011;;;;;"2";TRUE;FALSE;FALSE;
153;157;1;30/06/2011;30/12/2012;30/03/2012;30/06/2012;;31/05/2014;"3";TRUE;FALSE;FALSE;
154;158;3;30/07/2010;30/12/2010;30/08/2010;30/08/2010;30/06/2011;30/06/2011;"1";TRUE;FALSE;FALSE;
155;158;1;30/06/2011;30/12/2012;30/12/2011;31/03/2012;;31/05/2014;"2";TRUE;FALSE;FALSE;
156;159;3;30/01/2010;30/10/2011;;30/01/2010;28/02/2012;;"1";TRUE;FALSE;FALSE;
157;159;1;30/10/2010;30/10/2012;30/01/2012;31/05/2012;;28/02/2014;"2";TRUE;FALSE;FALSE;
158;160;4;28/02/2010;30/06/2010;30/08/2010;30/08/2010;31/03/2012;30/12/2011;"1";TRUE;FALSE;FALSE;
165;162;3;30/04/2010;30/09/2010;30/07/2011;11/07/2011;23/12/2012;31/12/2012;"1";TRUE;FALSE;FALSE;
170;147;4;30/04/2008;30/03/2012;;30/04/2008;30/03/2012;;"1";TRUE;FALSE;FALSE;
172;145;4;30/12/2009;30/06/2011;;30/12/2009;30/06/2011;;"1";TRUE;FALSE;FALSE;
173;145;2;30/12/2010;30/06/2012;;30/10/2011;31/05/2013;;"2";TRUE;FALSE;FALSE;
174;145;1;30/10/2011;12/06/2013;;30/10/2011;;31/12/2013;"3";TRUE;FALSE;FALSE;
